"No","CVE","Description","CVSSv3","Severity","Published","References","AdvisoryIDs","AdvisoryCount"
"11","CVE-2006-1864","Directory traversal vulnerability in smbfs in Linux 2.6.16 and earlier allows local users to escape chroot restrictions for an SMB-mounted filesystem via ""..\\"" sequences, a similar vulnerability to CVE-2006-1863.","4.6","MEDIUM","2006-04-26","http://secunia.com/advisories/19869; http://secunia.com/advisories/20237; http://secunia.com/advisories/20398","VCDSA23352","1"
"12","CVE-2006-2071","Linux kernel 2.4.x and 2.6.x up to 2.6.16 allows local users to bypass IPC permissions and modify a readonly attachment of shared memory by using mprotect to give write permission to the attachment.  NOTE: some original raw sources combined this issue with CVE-2006-1524, but they are different bugs.","2.1","LOW","2006-04-27","http://kernel.org/pub/linux/kernel/v2.6/ChangeLog-2.6.16.6; http://secunia.com/advisories/20157; http://secunia.com/advisories/20716","VCDSA23352","1"
"13","CVE-2006-2937","OpenSSL 0.9.7 before 0.9.7l and 0.9.8 before 0.9.8d allows remote attackers to cause a denial of service (infinite loop and memory consumption) via malformed ASN.1 structures that trigger an improperly handled error condition.","7.8","HIGH","2006-09-28","ftp://ftp.netbsd.org/pub/NetBSD/security/advisories/NetBSD-SA2008-007.txt.asc; ftp://patches.sgi.com/support/free/security/advisories/20061001-01-P.asc; http://docs.info.apple.com/article.html?artnum=304829","VCDSA23368","1"
"14","CVE-2006-2940","OpenSSL 0.9.7 before 0.9.7l, 0.9.8 before 0.9.8d, and earlier versions allows attackers to cause a denial of service (CPU consumption) via parasitic public keys with large (1) ""public exponent"" or (2) ""public modulus"" values in X.509 certificates that require extra time to process when using RSA signature verification.","7.8","HIGH","2006-09-28","ftp://ftp.netbsd.org/pub/NetBSD/security/advisories/NetBSD-SA2008-007.txt.asc; ftp://patches.sgi.com/support/free/security/advisories/20061001-01-P.asc; http://docs.info.apple.com/article.html?artnum=304829","VCDSA23368","1"
"15","CVE-2006-3619","Directory traversal vulnerability in FastJar 0.93, as used in Gnu GCC 4.1.1 and earlier, and 3.4.6 and earlier, allows user-assisted attackers to overwrite arbitrary files via a .jar file containing filenames with ""../"" sequences.","2.6","LOW","2006-07-25","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://gcc.gnu.org/bugzilla/show_bug.cgi?id=28359; http://lists.debian.org/debian-gcc/2006/05/msg00317.html","VCDSA23353","1"
"16","CVE-2006-4146","Buffer overflow in the (1) DWARF (dwarfread.c) and (2) DWARF2 (dwarf2read.c) debugging code in GNU Debugger (GDB) 6.5 allows user-assisted attackers, or restricted users, to execute arbitrary code via a crafted file with a location block (DW_FORM_block) that contains a large number of operations.","5.1","MEDIUM","2006-08-31","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://docs.info.apple.com/article.html?artnum=304669; http://lists.apple.com/archives/security-announce/2006/Oct/msg00000.html","VCDSA23353","1"
"17","CVE-2006-4339","OpenSSL before 0.9.7, 0.9.7 before 0.9.7k, and 0.9.8 before 0.9.8c, when using an RSA key with exponent 3, removes PKCS-1 padding before generating a hash, which allows remote attackers to forge a PKCS #1 v1.5 signature that is signed by that RSA key and prevents OpenSSL from correctly verifying X.509 and other certificates that use PKCS #1.","4.3","MEDIUM","2006-09-05","ftp://patches.sgi.com/support/free/security/advisories/20060901-01-P.asc; http://dev2dev.bea.com/pub/advisory/238; http://docs.info.apple.com/article.html?artnum=304829","VCDSA23368","1"
"18","CVE-2006-4343","The get_server_hello function in the SSLv2 client code in OpenSSL 0.9.7 before 0.9.7l, 0.9.8 before 0.9.8d, and earlier versions allows remote servers to cause a denial of service (client crash) via unknown vectors that trigger a null pointer dereference.","4.3","MEDIUM","2006-09-28","ftp://ftp.netbsd.org/pub/NetBSD/security/advisories/NetBSD-SA2008-007.txt.asc; ftp://patches.sgi.com/support/free/security/advisories/20061001-01-P.asc; http://docs.info.apple.com/article.html?artnum=304829","VCDSA23368","1"
"19","CVE-2006-4600","slapd in OpenLDAP before 2.3.25 allows remote authenticated users with selfwrite Access Control List (ACL) privileges to modify arbitrary Distinguished Names (DN).","2.3","LOW","2006-09-07","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://secunia.com/advisories/21721","VCDSA23353","1"
"20","CVE-2006-4814","The mincore function in the Linux kernel before 2.4.33.6 does not properly lock access to user space, which has unspecified impact and attack vectors, possibly related to a deadlock.","4.6","MEDIUM","2006-12-20","http://lists.vmware.com/pipermail/security-announce/2008/000023.html; http://rhn.redhat.com/errata/RHSA-2007-0014.html; http://secunia.com/advisories/23436","VCDSA23358","1"
"21","CVE-2006-5752","Cross-site scripting (XSS) vulnerability in mod_status.c in the mod_status module in Apache HTTP Server (httpd), when ExtendedStatus is enabled and a public server-status page is used, allows remote attackers to inject arbitrary web script or HTML via unspecified vectors involving charsets with browsers that perform ""charset detection"" when the content-type is not specified.","4.3","MEDIUM","2007-06-27","http://bugs.gentoo.org/show_bug.cgi?id=186219; http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=245112; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c01178795","VCDSA23387","1"
"22","CVE-2006-6304","The do_coredump function in fs/exec.c in the Linux kernel 2.6.19 sets the flag variable to O_EXCL but does not use it, which allows context-dependent attackers to modify arbitrary files via a rewrite attack during a core dump.","7.5","HIGH","2006-12-14","http://secunia.com/advisories/23349; http://support.avaya.com/css/P8/documents/100073666; http://www.kernel.org/pub/linux/kernel/v2.6/ChangeLog-2.6.19.1","VCDSA23378","1"
"23","CVE-2006-7195","Cross-site scripting (XSS) vulnerability in implicit-objects.jsp in Apache Tomcat 5.0.0 through 5.0.30 and 5.5.0 through 5.5.17 allows remote attackers to inject arbitrary web script or HTML via certain header values.","4.3","MEDIUM","2007-05-10","http://community.ca.com/blogs/casecurityresponseblog/archive/2009/01/23.aspx; http://lists.vmware.com/pipermail/security-announce/2008/000003.html; http://secunia.com/advisories/28365","VCDSA23355","1"
"24","CVE-2006-7228","Integer overflow in Perl-Compatible Regular Expression (PCRE) library before 6.7 might allow context-dependent attackers to execute arbitrary code via a regular expression that involves large (1) min, (2) max, or (3) duplength values that cause an incorrect length calculation and trigger a buffer overflow, a different vulnerability than CVE-2006-7227.  NOTE: this issue was originally subsumed by CVE-2006-7224, but that CVE has been REJECTED and split.","6.8","MEDIUM","2007-11-14","http://bugs.gentoo.org/show_bug.cgi?id=198976; http://lists.opensuse.org/opensuse-security-announce/2008-01/msg00006.html; http://lists.vmware.com/pipermail/security-announce/2008/000005.html","VCDSA23370; VCDSA23356","2"
"25","CVE-2007-0061","The DHCP server in EMC VMware Workstation before 5.5.5 Build 56455 and 6.x before 6.0.1 Build 55017, Player before 1.0.5 Build 56455 and Player 2 before 2.0.1 Build 55017, ACE before 1.0.3 Build 54075 and ACE 2 before 2.0.1 Build 55017, and Server before 1.0.4 Build 56528 allows remote attackers to execute arbitrary code via a malformed packet that triggers ""corrupt stack memory.""","10.0","HIGH","2007-09-21","http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://secunia.com/advisories/26890; http://secunia.com/advisories/27694","VCDSA23353","1"
"26","CVE-2007-0062","Integer overflow in the ISC dhcpd 3.0.x before 3.0.7 and 3.1.x before 3.1.1; and the DHCP server in EMC VMware Workstation before 5.5.5 Build 56455 and 6.x before 6.0.1 Build 55017, Player before 1.0.5 Build 56455 and Player 2 before 2.0.1 Build 55017, ACE before 1.0.3 Build 54075 and ACE 2 before 2.0.1 Build 55017, and Server before 1.0.4 Build 56528; allows remote attackers to cause a denial of service (daemon crash) or execute arbitrary code via a malformed DHCP packet with a large dhcp-max-message-size that triggers a stack-based buffer overflow, related to servers configured to send many DHCP options to clients.","10.0","HIGH","2007-09-21","http://bugs.gentoo.org/show_bug.cgi?id=227135; http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://lists.opensuse.org/opensuse-security-announce/2009-03/msg00000.html","VCDSA23353","1"
"27","CVE-2007-0063","Integer underflow in the DHCP server in EMC VMware Workstation before 5.5.5 Build 56455 and 6.x before 6.0.1 Build 55017, Player before 1.0.5 Build 56455 and Player 2 before 2.0.1 Build 55017, ACE before 1.0.3 Build 54075 and ACE 2 before 2.0.1 Build 55017, and Server before 1.0.4 Build 56528 allows remote attackers to execute arbitrary code via a malformed DHCP packet that triggers a stack-based buffer overflow.","10.0","HIGH","2007-09-21","http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://secunia.com/advisories/26890; http://secunia.com/advisories/27694","VCDSA23353","1"
"28","CVE-2007-0450","Directory traversal vulnerability in Apache HTTP Server and Tomcat 5.x before 5.5.22 and 6.x before 6.0.10, when using certain proxy modules (mod_proxy, mod_rewrite, mod_jk), allows remote attackers to read arbitrary files via a .. (dot dot) sequence with combinations of (1) ""/"" (slash), (2) ""\"" (backslash), and (3) URL-encoded backslash (%5C) characters in the URL, which are valid separators in Tomcat but not in Apache.","5.0","MEDIUM","2007-03-16","http://community.ca.com/blogs/casecurityresponseblog/archive/2009/01/23.aspx; http://docs.info.apple.com/article.html?artnum=306172; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c01178795","VCDSA23355","1"
"29","CVE-2007-0494","ISC BIND 9.0.x, 9.1.x, 9.2.0 up to 9.2.7, 9.3.0 up to 9.3.3, 9.4.0a1 up to 9.4.0a6, 9.4.0b1 up to 9.4.0b4, 9.4.0rc1, and 9.5.0a1 (Bind Forum only) allows remote attackers to cause a denial of service (exit) via a type * (ANY) DNS query response that contains multiple RRsets, which triggers an assertion error, aka the ""DNSSEC Validation"" vulnerability.","4.3","MEDIUM","2007-01-25","ftp://patches.sgi.com/support/free/security/advisories/20070201-01-P.asc; http://docs.info.apple.com/article.html?artnum=305530; http://fedoranews.org/cms/node/2507","VCDSA23353","1"
"30","CVE-2007-0956","The telnet daemon (telnetd) in MIT krb5 before 1.6.1 allows remote attackers to bypass authentication and gain system access via a username beginning with a '-' character, a similar issue to CVE-2007-0882.","10.0","HIGH","2007-04-06","ftp://patches.sgi.com/support/free/security/advisories/20070401-01-P.asc; http://lists.suse.com/archive/suse-security-announce/2007-Apr/0001.html; http://secunia.com/advisories/24706","VCDSA23352","1"
"31","CVE-2007-0957","Stack-based buffer overflow in the krb5_klog_syslog function in the kadm5 library, as used by the Kerberos administration daemon (kadmind) and Key Distribution Center (KDC), in MIT krb5 before 1.6.1 allows remote authenticated users to execute arbitrary code and modify the Kerberos key database via crafted arguments, possibly involving certain format string specifiers.","9.0","HIGH","2007-04-06","ftp://patches.sgi.com/support/free/security/advisories/20070401-01-P.asc; http://docs.info.apple.com/article.html?artnum=305391; http://lists.apple.com/archives/Security-announce/2007/Apr/msg00001.html","VCDSA23352","1"
"32","CVE-2007-1003","Integer overflow in ALLOCATE_LOCAL in the ProcXCMiscGetXIDList function in the XC-MISC extension in the X.Org X11 server (xserver) 7.1-1.1.0, and other versions before 20070403, allows remote authenticated users to execute arbitrary code via a large expression, which results in memory corruption.","9.0","HIGH","2007-04-06","http://issues.foresightlinux.org/browse/FL-223; http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=503; http://lists.freedesktop.org/archives/xorg-announce/2007-April/000286.html","VCDSA23352","1"
"33","CVE-2007-1216","Double free vulnerability in the GSS-API library (lib/gssapi/krb5/k5unseal.c), as used by the Kerberos administration daemon (kadmind) in MIT krb5 before 1.6.1, when used with the authentication method provided by the RPCSEC_GSS RPC library, allows remote authenticated users to execute arbitrary code and modify the Kerberos key database via a message with an ""an invalid direction encoding"".","9.0","HIGH","2007-04-06","ftp://patches.sgi.com/support/free/security/advisories/20070401-01-P.asc; http://docs.info.apple.com/article.html?artnum=305391; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?lang=en&cc=us&objectID=c01056923","VCDSA23352","1"
"34","CVE-2007-1351","Integer overflow in the bdfReadCharacters function in bdfread.c in (1) X.Org libXfont before 20070403 and (2) freetype 2.3.2 and earlier allows remote authenticated users to execute arbitrary code via crafted BDF fonts, which result in a heap overflow.","8.5","HIGH","2007-04-06","http://issues.foresightlinux.org/browse/FL-223; http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=501; http://lists.apple.com/archives/Security-announce/2007/Nov/msg00003.html","VCDSA23352","1"
"35","CVE-2007-1352","Integer overflow in the FontFileInitTable function in X.Org libXfont before 20070403 allows remote authenticated users to execute arbitrary code via a long first line in the fonts.dir file, which results in a heap overflow.","3.8","LOW","2007-04-06","http://issues.foresightlinux.org/browse/FL-223; http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=502; http://lists.apple.com/archives/Security-announce/2007/Nov/msg00003.html","VCDSA23352","1"
"36","CVE-2007-1660","Perl-Compatible Regular Expression (PCRE) library before 7.0 does not properly calculate sizes for unspecified ""multiple forms of character class"", which triggers a buffer overflow that allows context-dependent attackers to cause a denial of service (crash) and possibly execute arbitrary code.","6.8","MEDIUM","2007-11-07","http://bugs.gentoo.org/show_bug.cgi?id=198976; http://docs.info.apple.com/article.html?artnum=307179; http://docs.info.apple.com/article.html?artnum=307562","VCDSA23370","1"
"37","CVE-2007-1667","Multiple integer overflows in (1) the XGetPixel function in ImUtil.c in X.Org libx11 before 1.0.3, and (2) XInitImage function in xwd.c for ImageMagick, allow user-assisted remote attackers to cause a denial of service (crash) or obtain sensitive information via crafted images with large or negative values that trigger a buffer overflow.","9.3","HIGH","2007-03-24","http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=414045; http://issues.foresightlinux.org/browse/FL-223; http://lists.apple.com/archives/security-announce/2009/Feb/msg00000.html","VCDSA23352","1"
"38","CVE-2007-1716","pam_console does not properly restore ownership for certain console devices when there are multiple users logged into the console and one user logs out, which might allow local users to gain privileges.","3.4","LOW","2007-03-27","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://osvdb.org/37271","VCDSA23353","1"
"39","CVE-2007-1856","Vixie Cron before 4.1-r10 on Gentoo Linux is installed with insecure permissions, which allows local users to cause a denial of service (cron failure) by creating hard links, which results in a failed st_nlink check in database.c.","2.1","LOW","2007-04-18","http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://rhn.redhat.com/errata/RHSA-2007-0345.html; http://secunia.com/advisories/24905","VCDSA23353","1"
"40","CVE-2007-1863","cache_util.c in the mod_cache module in Apache HTTP Server (httpd), when caching is enabled and a threaded Multi-Processing Module (MPM) is used, allows remote attackers to cause a denial of service (child processing handler crash) via a request with the (1) s-maxage, (2) max-age, (3) min-fresh, or (4) max-stale Cache-Control headers without a value.","5.0","MEDIUM","2007-06-27","http://bugs.gentoo.org/show_bug.cgi?id=186219; http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=244658; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c01178795","VCDSA23387","1"
"41","CVE-2007-2052","Off-by-one error in the PyLocale_strxfrm function in Modules/_localemodule.c for Python 2.4 and 2.5 causes an incorrect buffer size to be used for the strxfrm function, which allows context-dependent attackers to read portions of memory via unknown manipulations that trigger a buffer over-read due to missing null termination.","5.0","MEDIUM","2007-04-16","http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=416934; http://lists.vmware.com/pipermail/security-announce/2008/000005.html; http://secunia.com/advisories/25190","VCDSA23392; VCDSA23356","2"
"42","CVE-2007-2442","The gssrpc__svcauth_gssapi function in the RPC library in MIT Kerberos 5 (krb5) 1.6.1 and earlier might allow remote attackers to execute arbitrary code via a zero-length RPC credential, which causes kadmind to free an uninitialized pointer during cleanup.","10.0","HIGH","2007-06-26","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://docs.info.apple.com/article.html?artnum=306172; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c02257427","VCDSA23353","1"
"43","CVE-2007-2443","Integer signedness error in the gssrpc__svcauth_unix function in svc_auth_unix.c in the RPC library in MIT Kerberos 5 (krb5) 1.6.1 and earlier might allow remote attackers to execute arbitrary code via a negative length value.","8.3","HIGH","2007-06-26","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://docs.info.apple.com/article.html?artnum=306172; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c02257427","VCDSA23353","1"
"44","CVE-2007-2446","Multiple heap-based buffer overflows in the NDR parsing in smbd in Samba 3.0.0 through 3.0.25rc3 allow remote attackers to execute arbitrary code via crafted MS-RPC requests involving (1) DFSEnum (netdfs_io_dfs_EnumInfo_d), (2) RFNPCNEX (smb_io_notify_option_type_data), (3) LsarAddPrivilegesToAccount (lsa_io_privilege_set), (4) NetSetFileSecurity (sec_io_acl), or (5) LsarLookupSids/LsarLookupSids2 (lsa_io_trans_names).","10.0","HIGH","2007-05-14","http://docs.info.apple.com/article.html?artnum=306172; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?lang=en&cc=us&objectID=c01067768; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?lang=en&cc=us&objectID=c01078980","VCDSA23353","1"
"45","CVE-2007-2447","The MS-RPC functionality in smbd in Samba 3.0.0 through 3.0.25rc3 allows remote attackers to execute arbitrary commands via shell metacharacters involving the (1) SamrChangePassword function, when the ""username map script"" smb.conf option is enabled, and allows remote authenticated users to execute commands via shell metacharacters involving other MS-RPC functions in the (2) remote printer and (3) file share management.","6.0","MEDIUM","2007-05-14","http://docs.info.apple.com/article.html?artnum=306172; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?lang=en&cc=us&objectID=c01067768; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?lang=en&cc=us&objectID=c01078980","VCDSA23353","1"
"46","CVE-2007-2798","Stack-based buffer overflow in the rename_principal_2_svc function in kadmind for MIT Kerberos 1.5.3, 1.6.1, and other versions allows remote authenticated users to execute arbitrary code via a crafted request to rename a principal.","9.0","HIGH","2007-06-26","ftp://patches.sgi.com/support/free/security/advisories/20070602-01-P.asc; http://docs.info.apple.com/article.html?artnum=306172; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c02257427","VCDSA23353","1"
"47","CVE-2007-2953","Format string vulnerability in the helptags_one function in src/ex_cmds.c in Vim 6.4 and earlier, and 7.x up to 7.1, allows user-assisted remote attackers to execute arbitrary code via format string specifiers in a help-tags tag in a help file, related to the helptags command.","6.8","MEDIUM","2007-07-31","ftp://ftp.vim.org/pub/vim/patches/7.1/7.1.039; http://secunia.com/advisories/25941; http://secunia.com/advisories/26285","VCDSA23399","1"
"48","CVE-2007-3004","Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2007-2788.  Reason: This candidate is a duplicate of CVE-2007-2788.  Notes: All CVE users should reference CVE-2007-2788 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage","N/A","N/A","2007-06-04","","VCDSA23355","1"
"49","CVE-2007-3108","The BN_from_montgomery function in crypto/bn/bn_mont.c in OpenSSL 0.9.8e and earlier does not properly perform Montgomery multiplication, which might allow local users to conduct a side-channel attack and retrieve RSA private keys.","1.2","LOW","2007-08-08","http://cvs.openssl.org/chngview?cn=16275; http://lists.vmware.com/pipermail/security-announce/2008/000002.html; http://openssl.org/news/patch-CVE-2007-3108.txt","VCDSA23360; VCDSA23354","2"
"50","CVE-2007-3304","Apache httpd 1.3.37, 2.0.59, and 2.2.4 with the Prefork MPM module, allows local users to cause a denial of service by modifying the worker_score and process_score arrays to reference an arbitrary process ID, which is sent a SIGUSR1 signal from the master process, aka ""SIGUSR1 killer.""","4.7","MEDIUM","2007-06-20","ftp://patches.sgi.com/support/free/security/advisories/20070701-01-P.asc; http://bugs.gentoo.org/show_bug.cgi?id=186219; http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=245111","VCDSA23387","1"
"51","CVE-2007-3514","Cross-domain vulnerability in Apple Safari for Windows 3.0.2 allows remote attackers to bypass the Same Origin Policy and access restricted information from other domains via JavaScript that overwrites the document variable and statically sets the document.domain attribute to a file:// location, a different vector than CVE-2007-3482.","8.5","HIGH","2007-07-03","http://osvdb.org/38861; http://www.0x000000.com/?i=371; http://osvdb.org/38861","VCDSA23359","1"
"52","CVE-2007-3847","The date handling code in modules/proxy/proxy_util.c (mod_proxy) in Apache 2.3.0, when using a threaded MPM, allows remote origin servers to cause a denial of service (caching forward proxy process crash) via crafted date headers that trigger a buffer over-read.","5.0","MEDIUM","2007-08-23","http://bugs.gentoo.org/show_bug.cgi?id=186219; http://docs.info.apple.com/article.html?artnum=307562; http://h20000.www2.hp.com/bizsupport/TechSupport/Document.jsp?objectID=c01182588","VCDSA23387","1"
"53","CVE-2007-4059","Absolute path traversal vulnerability in a certain ActiveX control in IntraProcessLogging.dll 5.5.3.42958 in EMC VMware allows remote attackers to create or overwrite arbitrary files via a full pathname in the argument to the SetLogFileName method.","5.8","MEDIUM","2007-07-30","http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://secunia.com/advisories/26890; http://www.securityfocus.com/bid/25110","VCDSA23353","1"
"54","CVE-2007-4155","Absolute path traversal vulnerability in a certain ActiveX control in vielib.dll in EMC VMware 6.0.0 allows remote attackers to execute arbitrary local programs via a full pathname in the first two arguments to the (1) CreateProcess or (2) CreateProcessEx method.","9.3","HIGH","2007-08-03","http://lists.grok.org.uk/pipermail/full-disclosure/2007-September/065902.html; http://secunia.com/advisories/26890; http://www.securityfocus.com/bid/25131","VCDSA23353","1"
"55","CVE-2007-4308","The (1) aac_cfg_open and (2) aac_compat_ioctl functions in the SCSI layer ioctl path in aacraid in the Linux kernel before 2.6.23-rc2 do not check permissions for ioctls, which might allow local users to cause a denial of service or gain privileges.","1.9","LOW","2007-08-13","http://kernel.org/pub/linux/kernel/v2.6/testing/ChangeLog-2.6.23-rc2; http://lists.opensuse.org/opensuse-security-announce/2007-12/msg00001.html; http://lists.opensuse.org/opensuse-security-announce/2008-02/msg00002.html","VCDSA23356","1"
"56","CVE-2007-4476","Buffer overflow in the safer_name_suffix function in GNU tar has unspecified attack vectors and impact, resulting in a ""crashing stack.""","7.5","HIGH","2007-09-05","http://bugs.gentoo.org/show_bug.cgi?id=196978; http://kb.juniper.net/InfoCenter/index?page=content&id=JSA10691; http://kb.juniper.net/InfoCenter/index?page=content&id=JSA10705","VCDSA23411","1"
